12 1825 0
1834 1835 0
1833 871 0
938 1662 0
1832 952 0
1831 818 0
1798 1520 0
1830 1236 0
1830 1050 0
1458 1706 0
1512 631 0
1512 1675 0
38 1825 0
1118 1828 0
1168 1829 0
1826 702 0
438 1159 0
459 1391 0
1185 1827 0
743 1502 0
897 409 0
928 713 0
1078 559 0
513 1502 0
507 1678 1
1458 755 1
1838 1413 1
1837 1475 1
1796 873 1
1560 746 1
1465 1836 1
1512 1048 1
459 559 1
654 921 1
1258 378 1
1144 1702 1
900 1626 1
438 1722 1
191 1006 1
12 1473 1
1334 1255 1
1768 1774 2
546 365 2
1375 1162 2
468 222 2
273 1278 2
1843 347 3
1749 1842 3
1841 1491 3
1549 1113 3
699 659 3
8 1555 3
391 1558 3
102 1839 3
8 1840 3
1804 1469 4
47 1379 4
1853 367 4
1852 656 4
1851 1673 4
1850 1420 4
1849 574 4
826 1848 4
938 746 4
1672 1847 4
1144 1846 4
1484 1456 4
1458 1453 4
1118 1150 4
1031 477 4
883 1763 4
728 512 4
401 1845 4
8 1348 4
281 1844 4
1672 1554 4
1513 300 5
1389 1161 5
1526 616 5
1464 664 5
1531 894 5
1389 1679 5
1762 1862 5
1798 1730 5
1798 1863 5
1864 150 5
1865 75 5
1781 1861 5
1269 1860 5
403 169 5
1090 1006 5
1854 1621 5
200 1855 5
273 1856 5
281 1177 5
1857 1858 5
102 1257 5
533 1673 5
438 190 5
438 904 5
760 961 5
897 1493 5
377 1859 5
1425 1870 6
1876 1877 6
1875 354 6
1874 56 6
1852 627 6
1796 1873 6
1773 1872 6
1781 1871 6
1781 343 6
1389 318 6
1289 473 6
1409 75 6
1334 1869 6
102 1071 6
281 992 6
438 1257 6
1866 822 6
728 376 6
1118 1867 6
1267 1868 6
438 1632 6
533 1735 7
1887 445 7
1885 1886 7
1802 1884 7
1784 1882 7
1888 104 7
1672 92 7
1597 1883 7
1212 1882 7
429 1878 7
1067 1880 7
1004 1879 7
928 1533 7
8 1645 7
377 1312 7
149 1662 7
1720 1364 7
1090 1881 7
1485 1892 8
1672 1206 8
660 222 8
1748 1324 8
814 1848 8
1894 1324 8
1335 1324 8
1895 1896 8
1297 473 8
1893 1324 8
1425 428 8
1117 1483 8
1367 1890 8
900 1071 8
900 1889 8
900 1717 8
728 260 8
459 1191 8
403 1410 8
273 745 8
102 1097 8
1389 1891 8
1802 1795 9
1900 486 9
1832 1899 9
1768 532 9
660 106 9
1388 1033 9
974 1898 9
459 1897 9
149 1662 9
1531 1324 9
1903 841 10
21 1906 10
1904 1905 10
